日期,金额 (元),一级分类,二级分类,备注
2026-08-10,25.50,餐饮,午餐,公司食堂工作餐
2026-08-10,12.00,交通,公交,上班公交
2026-08-10,45.00,餐饮,晚餐,和朋友吃饭
2026-08-10,8.00,通讯,话费,话费充值
2026-08-10,35.00,餐饮,零食,奶茶+蛋糕
2026-08-09,18.00,餐饮,早餐,早餐
2026-08-09,68.00,购物,服装,T恤一件
2026-08-09,22.00,交通,地铁,通勤
2026-08-09,15.00,娱乐,电影,电影票
2026-08-08,5.00,通讯,网费,宽带续费
2026-08-08,280.00,住房,房租,8月份房租
2026-08-08,156.00,购物,数码,蓝牙耳机
2026-08-07,88.00,教育,书籍,《三体》套装
2026-08-07,45.00,住房,水电,电费
2026-08-07,30.00,交通,打车,打车回家
2026-08-06,120.00,教育,课程,在线课程
2026-08-06,65.00,娱乐,游戏,游戏充值
2026-08-06,200.00,医疗,药品,感冒药
2026-08-05,99.00,娱乐,旅行,景点门票
2026-08-05,15.00,购物,日用品,抽纸
2026-08-05,56.00,交通,打车,打车
2026-08-04,38.00,交通,共享单车,共享单车月卡
2026-08-04,75.00,购物,日用品,洗衣液
2026-08-04,128.00,购物,服装,鞋子
2026-08-03,25.00,医疗,检查,体检
2026-08-03,42.00,餐饮,早餐,便利店早餐
2026-08-03,88.00,餐饮,晚餐,家庭聚餐
2026-08-02,15.00,交通,公交,公交
2026-08-02,56.00,购物,数码,手机壳
2026-08-01,180.00,住房,物业,物业费
2026-08-01,35.00,餐饮,午餐,外卖
2026-08-01,28.00,娱乐,游戏,游戏皮肤
2026-07-31,95.00,教育,考试,考试费
2026-07-31,45.00,医疗,挂号,门诊挂号
2026-07-30,120.00,购物,服装,外套
2026-07-30,32.00,餐饮,零食,水果
2026-07-29,68.00,交通,地铁,地铁周卡
2026-07-29,25.00,通讯,话费,话费充值
2026-07-28,150.00,娱乐,旅行,电影周票
2026-07-28,45.00,餐饮,午餐,快餐
2026-07-27,88.00,购物,日用品,抽纸
2026-07-27,35.00,住房,水电,水费
2026-07-26,56.00,交通,打车,打车
2026-07-26,15.00,餐饮,早餐,包子豆浆
2026-07-25,200.00,医疗,药品,慢性病药
2026-07-25,45.00,教育,书籍,专业书
2026-07-24,78.00,购物,数码,数据线
2026-07-24,32.00,餐饮,晚餐,简餐
2026-07-23,120.00,娱乐,游戏,游戏点卡
2026-07-23,25.00,交通,公交,公交
2026-07-22,65.00,购物,服装,袜子
2026-07-22,38.00,餐饮,午餐,盒饭
2026-07-21,180.00,住房,房租,7月份房租
2026-07-21,35.00,通讯,网费,宽带费
2026-07-20,68.00,娱乐,电影,IMAX电影
2026-07-20,25.00,餐饮,零食,巧克力
2026-07-19,95.00,医疗,检查,牙科检查
2026-07-19,45.00,教育,课程,在线课程
2026-07-18,125.00,购物,数码,机械键盘
2026-07-18,38.00,交通,地铁,地铁
2026-07-17,55.00,餐饮,晚餐,火锅
2026-07-17,22.00,娱乐,游戏,手游月卡
2026-07-16,88.00,购物,日用品,牙膏牙刷
2026-07-16,45.00,住房,物业,物业费
2026-07-15,150.00,医疗,药品,维生素
2026-07-15,35.00,餐饮,午餐,沙拉
2026-07-14,78.00,教育,考试,驾照考试费
2026-07-14,42.00,娱乐,旅行,公园门票
2026-07-13,95.00,购物,服装,裤子
2026-07-13,28.00,交通,打车,打车
2026-07-12,180.00,住房,水电,电费
2026-07-12,55.00,餐饮,早餐,煎饼果子
2026-07-11,68.00,通讯,话费,话费充值
2026-07-11,35.00,娱乐,游戏,游戏周边
2026-07-10,120.00,医疗,挂号,专家号
2026-07-10,45.00,教育,书籍,小说
2026-07-09,88.00,购物,数码,鼠标
2026-07-09,28.00,交通,公交,公交
2026-07-08,55.00,餐饮,晚餐,炒菜
2026-07-08,28.00,娱乐,电影,普通电影
2026-07-07,150.00,住房,房租,6月份房租
2026-07-07,45.00,教育,课程,瑜伽课
2026-07-06,78.00,购物,日用品,纸巾
2026-07-06,35.00,餐饮,午餐,快餐
2026-07-05,95.00,医疗,药品,感冒药
2026-07-05,42.00,娱乐,旅行,动物园门票
2026-07-04,125.00,购物,服装,鞋子
2026-07-04,38.00,交通,地铁,地铁
2026-07-03,68.00,通讯,网费,宽带续费
2026-07-03,25.00,餐饮,零食,薯片
2026-07-02,180.00,住房,物业,物业费
2026-07-02,55.00,教育,考试,证书考试费
2026-07-01,88.00,购物,数码,充电宝
2026-07-01,35.00,餐饮,晚餐,烧烤
2026-06-30,55.00,医疗,检查,体检
2026-06-30,42.00,娱乐,游戏,游戏币
2026-06-29,150.00,教育,书籍,工具书
2026-06-29,28.00,交通,打车,打车
2026-06-28,78.00,购物,日用品,沐浴露
2026-06-28,45.00,餐饮,午餐,面条
2026-06-27,95.00,住房,水电,水费
2026-06-27,32.00,娱乐,电影,话剧票
2026-06-26,120.00,医疗,药品,处方药
2026-06-26,55.00,教育,课程,编程课
2026-06-25,88.00,购物,服装,内衣
2026-06-25,38.00,交通,公交,公交
2026-06-24,68.00,通讯,话费,话费充值
2026-06-24,25.00,餐饮,早餐,面包
2026-06-23,180.00,住房,房租,5月份房租
2026-06-23,35.00,娱乐,旅行,游乐场门票
2026-06-22,78.00,购物,数码,耳机
2026-06-22,45.00,餐饮,晚餐,饺子
2026-06-21,95.00,医疗,挂号,皮肤科
2026-06-21,42.00,教育,考试,报名费
2026-06-20,125.00,购物,日用品,洗衣液
2026-06-20,28.00,交通,地铁,地铁
2026-06-19,55.00,餐饮,午餐,快餐
2026-06-19,32.00,娱乐,游戏,皮肤
2026-06-18,150.00,住房,物业,物业费
2026-06-18,45.00,教育,书籍,漫画
2026-06-17,88.00,购物,服装,T恤
2026-06-17,38.00,通讯,网费,宽带费
2026-06-16,68.00,医疗,药品,创可贴
2026-06-16,32.00,餐饮,零食,巧克力
2026-06-15,180.00,住房,水电,电费
2026-06-15,55.00,娱乐,电影,3D电影
2026-06-14,78.00,购物,数码,U盘
2026-06-14,35.00,交通,打车,打车
2026-06-13,95.00,教育,课程,音乐课
2026-06-13,42.00,餐饮,晚餐,汉堡
2026-06-12,120.00,医疗,检查,验血
2026-06-12,28.00,娱乐,游戏,月卡
2026-06-11,88.00,购物,日用品,牙刷
2026-06-11,35.00,交通,公交,公交
2026-06-10,55.00,餐饮,午餐,三明治
2026-06-10,42.00,教育,考试,模拟考
2026-06-09,150.00,住房,房租,4月份房租
2026-06-09,55.00,娱乐,旅行,科技馆
2026-06-08,78.00,购物,服装,袜子
2026-06-08,25.00,通讯,话费,话费充值
2026-06-07,95.00,医疗,药品,眼药水
2026-06-07,45.00,餐饮,晚餐,寿司
2026-06-06,125.00,教育,书籍,字典
2026-06-06,32.00,交通,地铁,地铁
2026-06-05,68.00,购物,数码,手机壳
2026-06-05,28.00,娱乐,电影,普通电影
2026-06-04,180.00,住房,物业,物业费
2026-06-04,55.00,餐饮,早餐,油条豆浆
2026-06-03,88.00,医疗,挂号,内科
2026-06-03,35.00,教育,课程,绘画课
2026-06-02,78.00,购物,日用品,洗发水
2026-06-02,42.00,交通,打车,打车
2026-06-01,95.00,餐饮,晚餐,牛排
2026-06-01,25.00,娱乐,游戏,游戏道具
2026-05-31,150.00,住房,水电,水费
2026-05-31,55.00,教育,考试,资格证考试
2026-05-30,88.00,购物,服装,外套
2026-05-30,38.00,通讯,网费,宽带续费
2026-05-29,68.00,医疗,药品,口罩
2026-05-29,32.00,餐饮,午餐,便当
2026-05-28,120.00,教育,书籍,历史书
2026-05-28,45.00,娱乐,旅行,动物园门票
2026-05-27,78.00,购物,数码,数据线
2026-05-27,28.00,交通,公交,公交
2026-05-26,95.00,餐饮,晚餐,烤肉
2026-05-26,35.00,娱乐,电影,话剧票
2026-05-25,180.00,住房,房租,3月份房租
2026-05-25,55.00,医疗,检查,血常规
2026-05-24,88.00,购物,日用品,纸巾
2026-05-24,42.00,教育,课程,舞蹈课
2026-05-23,78.00,通讯,话费,话费充值
2026-05-23,35.00,餐饮,早餐,煎饼果子
2026-05-22,125.00,购物,服装,裤子
2026-05-22,28.00,交通,地铁,地铁
2026-05-21,95.00,娱乐,游戏,游戏皮肤
2026-05-21,45.00,医疗,药品,创可贴
2026-05-20,78.00,教育,书籍,小说
2026-05-20,32.00,餐饮,午餐,面条
2026-05-19,150.00,住房,物业,物业费
2026-05-19,55.00,购物,数码,机械键盘
2026-05-18,88.00,交通,打车,打车
2026-05-18,38.00,娱乐,电影,3D电影
2026-05-17,78.00,餐饮,晚餐,火锅
2026-05-17,42.00,教育,考试,模拟考
2026-05-16,95.00,医疗,挂号,专家号
2026-05-16,25.00,通讯,网费,宽带费
2026-05-15,180.00,住房,水电,电费
2026-05-15,55.00,购物,日用品,洗衣液
2026-05-14,88.00,餐饮,午餐,披萨
2026-05-14,32.00,娱乐,游戏,游戏点卡
2026-05-13,125.00,教育,课程,书法课
2026-05-13,42.00,交通,公交,公交
2026-05-12,78.00,购物,服装,鞋子
2026-05-12,35.00,医疗,药品,感冒药
2026-05-11,95.00,餐饮,晚餐,炒菜
2026-05-11,28.00,娱乐,旅行,公园门票
2026-05-10,150.00,住房,房租,2月份房租
2026-05-10,55.00,购物,数码,鼠标
2026-05-09,88.00,通讯,话费,话费充值
2026-05-09,38.00,餐饮,早餐,包子豆浆
2026-05-08,78.00,教育,书籍,工具书
2026-05-08,45.00,交通,地铁,地铁
2026-05-07,120.00,购物,日用品,抽纸
2026-05-07,32.00,娱乐,电影,普通电影
2026-05-06,95.00,医疗,检查,体检
2026-05-06,25.00,餐饮,午餐,快餐
2026-05-05,180.00,住房,物业,物业费
2026-05-05,55.00,教育,考试,资格证
2026-05-04,88.00,购物,服装,内衣
2026-05-04,35.00,交通,打车,打车
2026-05-03,78.00,餐饮,晚餐,简餐
2026-05-03,42.00,娱乐,游戏,手游月卡
2026-05-02,95.00,医疗,药品,维生素
2026-05-02,28.00,通讯,网费,宽带续费
2026-05-01,150.00,住房,水电,水费
2026-05-01,55.00,购物,数码,充电宝
2026-04-30,88.00,餐饮,午餐,沙拉
2026-04-30,38.00,教育,课程,钢琴课
2026-04-29,78.00,交通,公交,公交
2026-04-29,45.00,娱乐,旅行,动物园
2026-04-28,125.00,购物,日用品,沐浴露
2026-04-28,35.00,餐饮,晚餐,饺子
2026-04-27,95.00,医疗,挂号,牙科
2026-04-27,25.00,教育,书籍,漫画
2026-04-26,180.00,住房,房租,1月份房租
2026-04-26,55.00,购物,服装,袜子
2026-04-25,88.00,通讯,话费,话费充值
2026-04-25,35.00,餐饮,早餐,煎饼
2026-04-24,68.00,交通,地铁,地铁
2026-04-24,42.00,娱乐,电影,普通
2026-04-23,150.00,教育,考试,报名费
2026-04-23,55.00,购物,数码,耳机
2026-04-22,88.00,餐饮,午餐,盒饭
2026-04-22,38.00,医疗,药品,创可贴
2026-04-21,78.00,住房,物业,物业费
2026-04-21,45.00,交通,打车,打车
2026-04-20,95.00,购物,日用品,牙膏
2026-04-20,28.00,娱乐,游戏,皮肤
2026-04-19,120.00,教育,课程,美术课
2026-04-19,35.00,餐饮,晚餐,火锅
2026-04-18,88.00,医疗,检查,验血
2026-04-18,42.00,通讯,网费,宽带
2026-04-17,78.00,购物,服装,T恤
2026-04-17,32.00,交通,公交,公交
2026-04-16,150.00,住房,水电,电费
2026-04-16,55.00,娱乐,旅行,科技馆
2026-04-15,88.00,餐饮,午餐,便当
2026-04-15,38.00,教育,书籍,历史书
2026-04-14,95.00,购物,数码,鼠标
2026-04-14,25.00,医疗,药品,眼药水
2026-04-13,180.00,住房,房租,12月份房租
2026-04-13,55.00,交通,地铁,地铁
2026-04-12,88.00,餐饮,晚餐,烧烤
2026-04-12,45.00,娱乐,电影,IMAX
2026-04-11,78.00,购物,日用品,洗衣液
2026-04-11,35.00,教育,考试,资格证
2026-04-10,95.00,通讯,话费,话费充值
2026-04-10,28.00,医疗,挂号,内科
2026-04-09,125.00,购物,服装,裤子
2026-04-09,32.00,餐饮,早餐,油条
2026-04-08,88.00,交通,打车,打车
2026-04-08,42.00,娱乐,游戏,点卡
2026-04-07,150.00,住房,物业,物业费
2026-04-07,55.00,教育,课程,瑜伽课
2026-04-06,78.00,购物,数码,数据线
2026-04-06,35.00,餐饮,午餐,面条
2026-04-05,95.00,医疗,药品,感冒药
2026-04-05,25.00,交通,公交,公交
2026-04-04,180.00,住房,水电,水费
2026-04-04,55.00,娱乐,旅行,动物园
2026-04-03,88.00,购物,日用品,纸巾
2026-04-03,35.00,教育,书籍,小说
2026-04-02,68.00,餐饮,晚餐,炒菜
2026-04-02,42.00,通讯,网费,宽带续费
2026-04-01,150.00,住房,房租,11月份房租
2026-04-01,55.00,购物,服装,外套
2026-03-31,88.00,医疗,检查,体检
2026-03-31,38.00,交通,地铁,地铁
2026-03-30,78.00,餐饮,午餐,快餐
2026-03-30,42.00,娱乐,电影,普通
2026-03-29,120.00,教育,考试,报名费
2026-03-29,32.00,购物,数码,手机壳
2026-03-28,95.00,住房,物业,物业费
2026-03-28,25.00,餐饮,早餐,三明治
2026-03-27,88.00,交通,打车,打车
2026-03-27,35.00,医疗,药品,创可贴
2026-03-26,78.00,购物,日用品,洗发水
2026-03-26,42.00,娱乐,游戏,月卡
2026-03-25,150.00,住房,水电,电费
2026-03-25,55.00,教育,课程,编程课
2026-03-24,88.00,餐饮,晚餐,寿司
2026-03-24,38.00,通讯,话费,话费充值
2026-03-23,95.00,购物,服装,鞋子
2026-03-23,28.00,交通,公交,公交
2026-03-22,125.00,教育,书籍,工具书
2026-03-22,32.00,医疗,挂号,皮肤科
2026-03-21,88.00,餐饮,午餐,披萨
2026-03-21,45.00,娱乐,旅行,游乐场
2026-03-20,78.00,购物,数码,键盘
2026-03-20,35.00,住房,房租,10月份房租
2026-03-19,95.00,交通,地铁,地铁
2026-03-19,25.00,餐饮,早餐,包子
2026-03-18,180.00,教育,考试,模拟考
2026-03-18,55.00,购物,日用品,抽纸
2026-03-17,88.00,医疗,药品,维生素
2026-03-17,38.00,娱乐,电影,3D电影
2026-03-16,78.00,住房,物业,物业费
2026-03-16,42.00,餐饮,晚餐,火锅
2026-03-15,120.00,购物,服装,内衣
2026-03-15,32.00,交通,打车,打车
2026-03-14,95.00,教育,课程,音乐课
2026-03-14,28.00,通讯,网费,宽带
2026-03-13,150.00,住房,水电,水费
2026-03-13,55.00,医疗,检查,验血
2026-03-12,88.00,餐饮,午餐,沙拉
2026-03-12,35.00,购物,数码,鼠标垫
2026-03-11,78.00,交通,公交,公交
2026-03-11,42.00,娱乐,游戏,皮肤
2026-03-10,95.00,教育,书籍,字典
2026-03-10,25.00,餐饮,早餐,豆浆
2026-03-09,180.00,住房,房租,9月份房租
2026-03-09,55.00,购物,日用品,洗衣液
2026-03-08,88.00,医疗,药品,感冒药
2026-03-08,38.00,交通,地铁,地铁
2026-03-07,78.00,餐饮,晚餐,烤肉
2026-03-07,45.00,娱乐,电影,话剧
2026-03-06,125.00,教育,考试,报名费
2026-03-06,32.00,购物,服装,袜子
2026-03-05,95.00,住房,物业,物业费
2026-03-05,28.00,交通,打车,打车
2026-03-04,88.00,餐饮,午餐,快餐
2026-03-04,35.00,医疗,挂号,专家
2026-03-03,78.00,购物,数码,充电宝
2026-03-03,42.00,娱乐,旅行,公园
2026-03-02,150.00,教育,课程,舞蹈课
2026-03-02,55.00,通讯,话费,话费充值
2026-03-01,88.00,住房,房租,8月份房租
2026-03-01,38.00,餐饮,早餐,煎饼
2026-02-28,95.00,医疗,药品,创可贴
2026-02-28,25.00,交通,公交,公交
2026-02-27,180.00,购物,日用品,纸巾
2026-02-27,55.00,娱乐,电影,普通电影
2026-02-26,88.00,教育,书籍,历史书
2026-02-26,32.00,餐饮,午餐,面条
2026-02-25,78.00,住房,物业,物业费
2026-02-25,42.00,交通,地铁,地铁
2026-02-24,95.00,医疗,检查,体检
2026-02-24,28.00,娱乐,游戏,月卡
2026-02-23,120.00,购物,服装,裤子
2026-02-23,35.00,餐饮,晚餐,简餐
2026-02-22,88.00,教育,考试,资格证
2026-02-22,38.00,交通,打车,打车
2026-02-21,78.00,住房,水电,电费
2026-02-21,45.00,医疗,药品,眼药水
2026-02-20,95.00,购物,数码,耳机
2026-02-20,25.00,餐饮,早餐,油条
2026-02-19,150.00,教育,课程,书法课
2026-02-19,55.00,通讯,网费,宽带续费
2026-02-18,88.00,交通,公交,公交
2026-02-18,38.00,娱乐,旅行,科技馆
2026-02-17,78.00,住房,房租,7月份房租
2026-02-17,42.00,医疗,挂号,内科
2026-02-16,95.00,购物,日用品,沐浴露
2026-02-16,28.00,餐饮,午餐,便当
2026-02-15,125.00,教育,书籍,小说
2026-02-15,32.00,交通,地铁,地铁
2026-02-14,180.00,住房,物业,物业费
2026-02-14,55.00,娱乐,电影,3D电影
2026-02-13,88.00,医疗,药品,感冒药
2026-02-13,35.00,餐饮,晚餐,火锅
2026-02-12,78.00,购物,服装,外套
2026-02-12,42.00,交通,打车,打车
2026-02-11,95.00,教育,考试,报名
2026-02-11,25.00,通讯,话费,话费充值
2026-02-10,150.00,住房,水电,水费
2026-02-10,55.00,娱乐,游戏,点卡
2026-02-09,88.00,餐饮,午餐,沙拉
2026-02-09,38.00,医疗,检查,验血
2026-02-08,78.00,购物,数码,鼠标
2026-02-08,45.00,交通,公交,公交
2026-02-07,120.00,教育,课程,绘画课
2026-02-07,32.00,餐饮,早餐,三明治
2026-02-06,95.00,住房,房租,6月份房租
2026-02-06,28.00,娱乐,电影,普通电影
2026-02-05,88.00,医疗,药品,感冒药
2026-02-05,35.00,餐饮,晚餐,烤肉
2026-02-04,78.00,购物,日用品,洗衣液
2026-02-04,42.00,交通,打车,打车
2026-02-03,95.00,教育,考试,资格证
2026-02-03,25.00,通讯,网费,宽带
2026-02-02,180.00,住房,水电,电费
2026-02-02,55.00,娱乐,旅行,动物园
2026-02-01,88.00,餐饮,午餐,快餐
2026-02-01,38.00,购物,数码,充电宝
2026-01-31,78.00,交通,地铁,地铁
2026-01-31,42.00,娱乐,电影,3D电影
2026-01-30,120.00,教育,课程,编程课
2026-01-30,32.00,医疗,药品,创可贴
2026-01-29,95.00,购物,服装,鞋子
2026-01-29,25.00,餐饮,早餐,包子
2026-01-28,180.00,住房,房租,5月份房租
2026-01-28,55.00,娱乐,游戏,皮肤
2026-01-27,88.00,交通,公交,公交
2026-01-27,38.00,通讯,话费,话费充值
2026-01-26,78.00,医疗,检查,体检
2026-01-26,45.00,餐饮,晚餐,火锅
2026-01-25,125.00,教育,书籍,工具书
2026-01-25,32.00,购物,日用品,纸巾
2026-01-24,95.00,交通,打车,打车
2026-01-24,28.00,娱乐,电影,普通
2026-01-23,150.00,住房,物业,物业费
2026-01-23,55.00,医疗,药品,维生素
2026-01-22,88.00,餐饮,午餐,沙拉
2026-01-22,38.00,教育,考试,模拟考
2026-01-21,78.00,购物,数码,键盘
2026-01-21,42.00,交通,地铁,地铁
2026-01-20,95.00,娱乐,旅行,科技馆
2026-01-20,25.00,通讯,网费,宽带续费
2026-01-19,180.00,住房,水电,水费
2026-01-19,55.00,医疗,挂号,专家
2026-01-18,88.00,餐饮,晚餐,烧烤
2026-01-18,35.00,教育,课程,瑜伽课
